seed,query_id,variant,runtime_ms,mean_relevance,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_k,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,novelty
42,q1_co2_adsorption,SemanticOnly,8.299999998406804e-05,0.46286487579345703,0.4651694893836975,0.0,0.06416328996419907,2.2449508918498395e-10,0.9719886587943841,0.44999998807907104,0.9813195466995239,0.5990620851516724,0.0,0.8500000238418579,1.0,0.04128754884004593
42,q1_co2_adsorption,WeightedSum,0.00012499999990644994,0.47267183661460876,0.4744685888290405,0.0,0.008607196621596813,2.5033813910724234e-10,1.0,0.44999998807907104,1.0,0.6544787883758545,0.0,0.8500000238418579,1.0,0.06010851263999939
42,q1_co2_adsorption,LEA,143.34383300000007,0.47126060724258423,0.4744685888290405,0.0,0.07932743430137634,2.447448077536052e-10,0.9963843381869881,0.44999998807907104,0.9709603190422058,0.6605581045150757,0.0,0.8500000238418579,1.0,0.07736240327358246
42,q1_co2_adsorption,GraphSAGE-only,0.020541000000040555,0.4630468785762787,0.4698196053504944,0.0,0.09801392257213593,2.233823820363412e-10,0.9783004073833584,0.44999998807907104,0.9560602307319641,0.6137470006942749,0.0,0.8500000238418579,1.0,0.05560676008462906
42,q1_co2_adsorption,LEA + GraphSAGE,128.87879099999998,0.47130218148231506,0.4744685888290405,0.0,0.07546157389879227,2.446888802687397e-10,0.99664506791858,0.44999998807907104,0.9666562080383301,0.6631309390068054,0.0,0.8500000238418579,1.0,0.07840178161859512
42,q1_co2_adsorption,GAT-only,0.025541999999934006,0.4650551378726959,0.4744685888290405,0.0,0.05619654804468155,2.3077854904851591e-10,0.9851995030545735,0.44999998807907104,0.9944792985916138,0.606645405292511,0.0,0.8500000238418579,1.0,0.03629155829548836
42,q1_co2_adsorption,LEA + GAT,92.38725000000004,0.47130218148231506,0.4744685888290405,0.0,0.07546157389879227,2.446888802687397e-10,0.99664506791858,0.44999998807907104,0.9666562080383301,0.6631309390068054,0.0,0.8500000238418579,1.0,0.07840178161859512
42,q2_photocatalysis,SemanticOnly,0.00016700000005087645,0.8529559373855591,0.8539198040962219,0.0,0.01959465816617012,5.892198950974148e-10,0.9869173962128599,1.0,1.0,0.6931999325752258,0.0,0.8500000238418579,1.0,0.011293628253042698
42,q2_photocatalysis,WeightedSum,0.00012499999990644994,0.8607824444770813,0.8617095351219177,0.0,0.021135833114385605,6.784744432941636e-10,1.0,1.0,0.9983774423599243,0.7995497584342957,0.0,0.8500000238418579,1.0,0.10227654874324799
42,q2_photocatalysis,LEA,101.84883400000011,0.8607824444770813,0.8617095351219177,0.0,0.021135833114385605,6.784744432941636e-10,0.9999472812073708,1.0,0.9983774423599243,0.7995497584342957,0.0,0.8500000238418579,1.0,0.10227654874324799
