method,runtime_ms,mean_relevance,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_k,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score
LEA,126.28345819999997,0.6939340472221375,0.6988536357879639,0.0,0.1763623606413603,4.236558548420533e-10,0.9958811714151198,0.7399999976158143,0.908831524848938,0.7853168725967408,0.0,0.8400000214576722
ParetoCrowding,34.62773320000004,0.6931919097900391,0.6988536357879639,0.0,0.18309830650687217,4.1508936565737287e-10,0.9951044841391706,0.7399999976158143,0.8824318051338196,0.7924896121025086,0.0,0.8400000214576722
Random,0.13951660000002253,0.6830305576324462,0.6908278286457061,0.0,0.052234331518411635,3.012168294196612e-10,0.9746360476661978,0.7399999976158143,0.799157977104187,0.7250219106674194,0.0,0.8400000214576722
SemanticOnly,0.11060860000009498,0.6817818880081177,0.6842729091644287,0.0,0.0330189349129796,3.0365272257316315e-10,0.9702009286377067,0.7399999976158143,0.7929862856864929,0.7213252782821655,0.0,0.8500000238418579
TOPSIS,0.19846679999997452,0.6936225593090057,0.6974016070365906,0.0,0.052684595622122285,4.787866714206501e-10,0.9951649738836299,0.7399999976158143,0.980337381362915,0.7727820158004761,0.0,0.8500000238418579
WeightedSum,0.14718320000006724,0.6960913956165313,0.6988536357879639,0.0,0.016852908302098513,3.4576687640780957e-10,1.0,0.7399999976158143,0.7982666015625,0.7962326884269715,0.0,0.8500000238418579
