seed,query_id,variant,runtime_ms
43,q2_photocatalysis,WeightedSum,0.08620799999903284
43,q2_photocatalysis,MMR,1.8193750000001785
43,q2_photocatalysis,RandomRepeated,0.05762500000017212
43,q2_photocatalysis,LEA baseline,118.96462500000027
43,q2_photocatalysis,LEA no diversity,122.16358299999897
43,q2_photocatalysis,LEA no balance,91.28833299999961
43,q2_photocatalysis,LEA no self-cleaning,83.7766250000005
43,q2_photocatalysis,LEA pop20,55.46354200000003
43,q2_photocatalysis,LEA pop50,138.78295800000018
43,q2_photocatalysis,LEA pop100,294.7546250000013
43,q2_photocatalysis,LEA iter20,28.618208000001033
43,q2_photocatalysis,LEA iter40,57.6723329999993
43,q2_photocatalysis,LEA iter100,141.5026250000011
43,q2_photocatalysis,LEA pool50,121.01945899999933
43,q2_photocatalysis,LEA pool200,173.2657920000005
43,q3_lightweight_storage,SemanticOnly,0.14745899999901724
43,q3_lightweight_storage,WeightedSum,0.14070900000007214
43,q3_lightweight_storage,MMR,1.8222909999998649
43,q3_lightweight_storage,RandomRepeated,0.06604200000026594
43,q3_lightweight_storage,LEA baseline,141.59916600000065
43,q3_lightweight_storage,LEA no diversity,123.01345899999916
43,q3_lightweight_storage,LEA no balance,83.61750000000079
43,q3_lightweight_storage,LEA no self-cleaning,85.92204199999998
43,q3_lightweight_storage,LEA pop20,55.81812500000005
43,q3_lightweight_storage,LEA pop50,137.41629199999926
43,q3_lightweight_storage,LEA pop100,275.1264580000008
43,q3_lightweight_storage,LEA iter20,27.502166000001438
43,q3_lightweight_storage,LEA iter40,54.79541700000112
43,q3_lightweight_storage,LEA iter100,140.14562500000238
43,q3_lightweight_storage,LEA pool50,114.34200000000061
43,q3_lightweight_storage,LEA pool200,145.01183300000164
43,q4_balanced_discovery,SemanticOnly,0.14333400000055008
43,q4_balanced_discovery,WeightedSum,0.2179590000004339
43,q4_balanced_discovery,MMR,4.054542000002215
43,q4_balanced_discovery,RandomRepeated,0.06495899999947596
43,q4_balanced_discovery,LEA baseline,114.20295899999999
43,q4_balanced_discovery,LEA no diversity,142.40099999999956
43,q4_balanced_discovery,LEA no balance,84.68495800000042
43,q4_balanced_discovery,LEA no self-cleaning,83.91004199999941
43,q4_balanced_discovery,LEA pop20,56.281000000002024
43,q4_balanced_discovery,LEA pop50,137.71595799999758
43,q4_balanced_discovery,LEA pop100,283.9520419999992
43,q4_balanced_discovery,LEA iter20,28.31733300000039
43,q4_balanced_discovery,LEA iter40,56.625125000000054
43,q4_balanced_discovery,LEA iter100,143.17729200000073
43,q4_balanced_discovery,LEA pool50,121.98649999999844
43,q4_balanced_discovery,LEA pool200,146.20333300000254
43,q5_insulating_frameworks,SemanticOnly,0.13712499999840588
43,q5_insulating_frameworks,WeightedSum,0.19762499999842476
43,q5_insulating_frameworks,MMR,8.397166999998262
43,q5_insulating_frameworks,RandomRepeated,0.1336249999965844
43,q5_insulating_frameworks,LEA baseline,133.23291600000076
43,q5_insulating_frameworks,LEA no diversity,115.93291599999844
43,q5_insulating_frameworks,LEA no balance,83.44045799999833
43,q5_insulating_frameworks,LEA no self-cleaning,83.69620799999922
43,q5_insulating_frameworks,LEA pop20,55.84270800000013
43,q5_insulating_frameworks,LEA pop50,138.39733300000034
43,q5_insulating_frameworks,LEA pop100,283.8398330000018
43,q5_insulating_frameworks,LEA iter20,28.28075000000041
43,q5_insulating_frameworks,LEA iter40,57.20645799999957
43,q5_insulating_frameworks,LEA iter100,142.14029099999692
43,q5_insulating_frameworks,LEA pool50,111.7419169999998
43,q5_insulating_frameworks,LEA pool200,135.13083299999806
44,q1_co2_adsorption,SemanticOnly,0.04620899999707717
44,q1_co2_adsorption,WeightedSum,0.08624999999895522
44,q1_co2_adsorption,MMR,1.802082999997623
44,q1_co2_adsorption,RandomRepeated,0.056582999999221784
44,q1_co2_adsorption,LEA baseline,128.0174169999988
44,q1_co2_adsorption,LEA no diversity,130.0750000000015
44,q1_co2_adsorption,LEA no balance,86.20037500000066
44,q1_co2_adsorption,LEA no self-cleaning,83.93404199999921
44,q1_co2_adsorption,LEA pop20,55.896624999999034
44,q1_co2_adsorption,LEA pop50,138.28716700000143
44,q1_co2_adsorption,LEA pop100,289.4664579999997
44,q1_co2_adsorption,LEA iter20,29.51662500000296
44,q1_co2_adsorption,LEA iter40,60.58720900000125
44,q1_co2_adsorption,LEA iter100,139.96970799999886
44,q1_co2_adsorption,LEA pool50,128.52987500000168
44,q1_co2_adsorption,LEA pool200,119.53345899999945
44,q2_photocatalysis,SemanticOnly,0.14020900000133452
44,q2_photocatalysis,WeightedSum,0.19466699999881598
44,q2_photocatalysis,MMR,4.849709000001923
44,q2_photocatalysis,RandomRepeated,0.0711669999979847
44,q2_photocatalysis,LEA baseline,124.15912499999848
44,q2_photocatalysis,LEA no diversity,122.00012499999957
44,q2_photocatalysis,LEA no balance,87.90391699999844
44,q2_photocatalysis,LEA no self-cleaning,83.91162500000249
44,q2_photocatalysis,LEA pop20,56.36220799999947
44,q2_photocatalysis,LEA pop50,139.16879199999954
44,q2_photocatalysis,LEA pop100,283.93008300000133
44,q2_photocatalysis,LEA iter20,27.820292000001245
44,q2_photocatalysis,LEA iter40,57.0255419999981
44,q2_photocatalysis,LEA iter100,144.00429200000175
44,q2_photocatalysis,LEA pool50,114.47958300000138
44,q2_photocatalysis,LEA pool200,118.79504199999857
44,q3_lightweight_storage,SemanticOnly,0.07133300000106146
44,q3_lightweight_storage,WeightedSum,0.09170900000299298
44,q3_lightweight_storage,MMR,2.6494169999971007
44,q3_lightweight_storage,RandomRepeated,0.06550000000160594
44,q3_lightweight_storage,LEA baseline,137.19791700000172
44,q3_lightweight_storage,LEA no diversity,149.48383300000145
44,q3_lightweight_storage,LEA no balance,84.03416700000221
44,q3_lightweight_storage,LEA no self-cleaning,83.67441699999745
44,q3_lightweight_storage,LEA pop20,55.826124999999394
44,q3_lightweight_storage,LEA pop50,140.83283300000105
44,q3_lightweight_storage,LEA pop100,303.9496670000012
44,q3_lightweight_storage,LEA iter20,28.09249999999963
44,q3_lightweight_storage,LEA iter40,55.79449999999753
44,q3_lightweight_storage,LEA iter100,139.21754100000072
44,q3_lightweight_storage,LEA pool50,114.14166699999839
44,q3_lightweight_storage,LEA pool200,128.51429199999842
44,q4_balanced_discovery,SemanticOnly,0.043791999999598374
44,q4_balanced_discovery,WeightedSum,0.08529200000140236
44,q4_balanced_discovery,MMR,1.7953750000003765
44,q4_balanced_discovery,RandomRepeated,0.06316600000033645
44,q4_balanced_discovery,LEA baseline,113.44529199999798
44,q4_balanced_discovery,LEA no diversity,113.67112499999976
44,q4_balanced_discovery,LEA no balance,88.30245900000122
44,q4_balanced_discovery,LEA no self-cleaning,83.38499999999982
44,q4_balanced_discovery,LEA pop20,57.661207999998965
44,q4_balanced_discovery,LEA pop50,138.39341599999955
44,q4_balanced_discovery,LEA pop100,286.16020900000194
44,q4_balanced_discovery,LEA iter20,27.818249999999267
44,q4_balanced_discovery,LEA iter40,58.07766699999917
44,q4_balanced_discovery,LEA iter100,141.99033399999905
44,q4_balanced_discovery,LEA pool50,92.61208299999879
44,q4_balanced_discovery,LEA pool200,148.4551670000016
44,q5_insulating_frameworks,SemanticOnly,0.04591600000125595
44,q5_insulating_frameworks,WeightedSum,0.08608399999943117
44,q5_insulating_frameworks,MMR,3.0207500000010157
44,q5_insulating_frameworks,RandomRepeated,0.14595800000094528
44,q5_insulating_frameworks,LEA baseline,132.7652910000019
44,q5_insulating_frameworks,LEA no diversity,128.71987499999804
44,q5_insulating_frameworks,LEA no balance,84.37070799999802
44,q5_insulating_frameworks,LEA no self-cleaning,84.58641700000058
44,q5_insulating_frameworks,LEA pop20,56.12566699999988
44,q5_insulating_frameworks,LEA pop50,140.326040999998
44,q5_insulating_frameworks,LEA pop100,285.57404200000036
44,q5_insulating_frameworks,LEA iter20,28.93070899999728
44,q5_insulating_frameworks,LEA iter40,57.43920799999813
44,q5_insulating_frameworks,LEA iter100,141.96887499999988
44,q5_insulating_frameworks,LEA pool50,131.88916600000056
44,q5_insulating_frameworks,LEA pool200,144.82754199999803
45,q1_co2_adsorption,SemanticOnly,0.05050000000039745
45,q1_co2_adsorption,WeightedSum,0.08529100000131962
45,q1_co2_adsorption,MMR,1.8098749999992947
45,q1_co2_adsorption,RandomRepeated,0.06283300000120562
45,q1_co2_adsorption,LEA baseline,114.24999999999841
45,q1_co2_adsorption,LEA no diversity,132.49320799999964
45,q1_co2_adsorption,LEA no balance,85.52758300000107
45,q1_co2_adsorption,LEA no self-cleaning,84.31904100000054
45,q1_co2_adsorption,LEA pop20,56.511583999999004
45,q1_co2_adsorption,LEA pop50,141.3224590000013
45,q1_co2_adsorption,LEA pop100,286.10374999999874
45,q1_co2_adsorption,LEA iter20,28.313750000002358
45,q1_co2_adsorption,LEA iter40,57.23483299999543
45,q1_co2_adsorption,LEA iter100,145.40591700000505
45,q1_co2_adsorption,LEA pool50,102.69300000000214
45,q1_co2_adsorption,LEA pool200,167.18287500000173
45,q2_photocatalysis,SemanticOnly,0.0551250000029313
45,q2_photocatalysis,WeightedSum,0.08629100000234757
45,q2_photocatalysis,MMR,5.029499999999132
45,q2_photocatalysis,RandomRepeated,0.13758299999722112
45,q2_photocatalysis,LEA baseline,124.5986249999973
45,q2_photocatalysis,LEA no diversity,120.39458400000314
45,q2_photocatalysis,LEA no balance,87.35354199999534
45,q2_photocatalysis,LEA no self-cleaning,84.08466599999542
45,q2_photocatalysis,LEA pop20,56.89191600000498
45,q2_photocatalysis,LEA pop50,142.60349999999988
45,q2_photocatalysis,LEA pop100,289.2480000000006
45,q2_photocatalysis,LEA iter20,29.699042000004283
45,q2_photocatalysis,LEA iter40,58.56624999999838
45,q2_photocatalysis,LEA iter100,143.45491699999968
45,q2_photocatalysis,LEA pool50,104.84479200000152
45,q2_photocatalysis,LEA pool200,129.65175000000073
45,q3_lightweight_storage,SemanticOnly,0.048541000005286605
45,q3_lightweight_storage,WeightedSum,0.11441699999892307
45,q3_lightweight_storage,MMR,1.8299580000018523
45,q3_lightweight_storage,RandomRepeated,0.06175000000041564
45,q3_lightweight_storage,LEA baseline,127.23904199999936
45,q3_lightweight_storage,LEA no diversity,125.86279100000297
45,q3_lightweight_storage,LEA no balance,84.32333300000039
