query,query_id,seed,method,rank,qmof_id,formula,semantic_score,band_gap,band_gap_available,density,density_available,stability_score,graph_score,availability_mask,relevance_score,balance_score,diversity_contribution,final_score,runtime_ms
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,TOPSIS,1,qmof-e566fbb,Zn2C36H22N6O8,0.65,2.93315,True,0.83426434,True,1.0,,1|1|1|1,0.897905,0.8484455347061157,0.0,0.897905,1.1657499999984111
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,TOPSIS,2,qmof-cef46c3,Zn2C48H32N8O8,0.65,2.913296,True,0.7895211,True,1.0,,1|1|1|1,0.897905,0.8484455347061157,0.0,0.897905,1.1657499999984111
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,TOPSIS,3,qmof-c0f392b,Zn2C44H38N6O12,0.65,2.464185,True,0.915527725,True,1.0,,1|1|1|1,0.897905,0.8484455347061157,0.0,0.897905,1.1657499999984111
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,TOPSIS,4,qmof-ac6a77a,Zn4C76H44N8O16,0.65,2.401359,True,0.82887956,True,1.0,,1|1|1|1,0.897905,0.8484455347061157,0.0,0.897905,1.1657499999984111
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,TOPSIS,5,qmof-a1a5849,Fe2C24H16N8,0.65,2.75343,True,0.925170256,True,1.0,,1|1|1|1,0.897905,0.8484455347061157,0.0,0.897905,1.1657499999984111
