query,query_id,seed,method,rank,qmof_id,formula,semantic_score,band_gap,band_gap_available,density,density_available,stability_score,graph_score,availability_mask,relevance_score,balance_score,diversity_contribution,final_score,runtime_ms
lightweight gas storage MOFs with low density,q3_lightweight_storage,49,GraphSAGE only,1,qmof-91a02c3,Cu12C36H24N52,0.728571,,False,0.291766825,True,1.0,0.450698,1|0|1|1,0.8944462048562299,0.8720471411943436,0.0,0.8944462048562299,0.03754200000116725
lightweight gas storage MOFs with low density,q3_lightweight_storage,49,GraphSAGE only,2,qmof-13a76dd,Zn4C40H28N12O8,0.728571,3.309168,True,0.982716063,True,1.0,0.311079,1|1|1|1,0.9173958948894889,0.8824677988886833,0.06980949640274048,0.9173958948894889,0.03754200000116725
lightweight gas storage MOFs with low density,q3_lightweight_storage,49,GraphSAGE only,3,qmof-e566fbb,Zn2C36H22N6O8,0.728571,2.93315,True,0.83426434,True,1.0,0.303646,1|1|1|1,0.9173958948894889,0.8824677988886833,0.04888654290698469,0.9173958948894889,0.03754200000116725
lightweight gas storage MOFs with low density,q3_lightweight_storage,49,GraphSAGE only,4,qmof-235f291,Ni2C24H16N8,0.728571,3.336142,True,0.870801372,True,1.0,0.30269,1|1|1|1,0.9173958948894889,0.8824677988886833,0.037473805360302016,0.9173958948894889,0.03754200000116725
lightweight gas storage MOFs with low density,q3_lightweight_storage,49,GraphSAGE only,5,qmof-a1a5849,Fe2C24H16N8,0.728571,2.75343,True,0.925170256,True,1.0,0.298612,1|1|1|1,0.9173958948894889,0.8824677988886833,0.03105362479982432,0.9173958948894889,0.03754200000116725
