query,seed,method,rank,qmof_id,formula,raw_density,raw_band_gap,raw_semantic_score,raw_stability_score,raw_graph_score,normalized_density_score,normalized_band_gap_score,normalized_semantic_score,normalized_stability_score,normalized_graph_score,availability_mask,active_objective_vector,pairwise_masked_distance,final_utility
stable porous MOFs for CO2 adsorption,42,LEA no diversity,5,qmof-26c54ef,Co2C32H24N4O8,1.504454446,2.825171,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.847107757627964
stable porous MOFs for CO2 adsorption,42,LEA no self-cleaning,1,qmof-c8f0292,Co2C44H48N12O12,1.602088418,3.494605,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,42,LEA no self-cleaning,2,qmof-b0a3596,Co2C36H26N4O12,1.704727415,3.49187,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,42,LEA no self-cleaning,3,qmof-c631f72,Co2C42H28N8O16,1.65313731,3.280036,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,42,LEA no self-cleaning,4,qmof-b2fddf8,Co2C40H28N4O14S2,1.64642024,2.966635,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,42,LEA no self-cleaning,5,qmof-26c54ef,Co2C32H24N4O8,1.504454446,2.825171,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8596077576279639
stable porous MOFs for CO2 adsorption,42,LEA + GAT,1,qmof-403e9cb,Co2C24H32N4O18,1.697328907,3.469655,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.8026215642690658
stable porous MOFs for CO2 adsorption,42,LEA + GAT,2,qmof-334586a,Co2C28H20N16S4,1.76521634,3.172952,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7998268008232117
stable porous MOFs for CO2 adsorption,42,LEA + GAT,3,qmof-c0d0be0,Co2C28H20N4O12,1.717539182,3.369652,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7991235226392746
stable porous MOFs for CO2 adsorption,42,LEA + GAT,4,qmof-9a1ecbc,Co2C28Cl4H24N8S6,1.797370089,3.409833,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7990686014294625
stable porous MOFs for CO2 adsorption,42,LEA + GAT,5,qmof-d8703ab,Co2C24H24N8O8,1.778550968,3.365559,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7983945980668068
stable porous MOFs for CO2 adsorption,42,LEA + GraphSAGE,1,qmof-275dcce,Co2Nd2C32H32N20O12,1.787505544,2.684298,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7637722879648209
stable porous MOFs for CO2 adsorption,42,LEA + GraphSAGE,2,qmof-f69d443,Co2C40H28N12O8,1.370451155,2.877886,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7627351641654968
stable porous MOFs for CO2 adsorption,42,LEA + GraphSAGE,3,qmof-68234b7,Co2C30H32N2O14,1.399169923,3.266102,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7616688579320907
stable porous MOFs for CO2 adsorption,42,LEA + GraphSAGE,4,qmof-334586a,Co2C28H20N16S4,1.76521634,3.172952,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.761016596853733
stable porous MOFs for CO2 adsorption,42,LEA + GraphSAGE,5,qmof-403e9cb,Co2C24H32N4O18,1.697328907,3.469655,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.761000494658947
