representation,description,rel_at_5,ndcg_at_5,diversity,topk_overlap_with_weighted_sum,candidate_pool_coverage,runtime_ms,seed_variation_diversity_sd,interpretable,available_for_all_records,introduces_leakage,depends_on_heuristic_scores,suitable_for_scientific_claim,notes
objective,Current masked objective-score distance,0.8479186742164481,1.0,0.0,0.588,0.00490869821323385,82.70838337999996,0.0,yes,partial,no,yes,diagnostic comparison,interpretable as application utility but too coarse; retained only as a diagnostic baseline
physical,Masked continuous physical-descriptor distance,0.8479186742164481,1.0,0.057821579440253096,0.596,0.00490869821323385,81.51899506,0.021062886520950008,yes,partial,no,no,diagnostic comparison,uses density and band gap at full precision; interpretable but limited by missing band gaps and absent structural descriptors
formula,Formula-derived descriptor distance,0.8477350769860724,0.9998140067753865,0.1087355790242275,0.572,0.00490869821323385,83.23437337999961,0.03196912233737869,yes,yes,no,no,diagnostic comparison,available for all formula-bearing records; chemically interpretable but not structure-aware
semantic,Deterministic semantic-proxy distance,0.8479186742164481,1.0,0.0,0.588,0.00490869821323385,86.07341759999969,0.0,yes,yes,semantic is query-dependent,yes,diagnostic comparison,reproducible existing semantic score; query-dependent and therefore less suitable as material diversity
graph,Formula-derived graph-proxy distance,0.8479186742164481,1.0,0.029287644323210217,0.544,0.00490869821323385,97.40256087999995,0.011225845748009316,yes,yes,no,yes,diagnostic comparison,"available for all records but proxy-based, not CIF-derived graph embeddings"
hybrid_material,Hybrid material distance,0.8479186742164481,1.0,0.022364590496962256,0.5760000000000001,0.00490869821323385,82.39740666000017,0.0060092692166387775,yes,yes,no,yes,selected,chosen final representation: full-precision physical descriptors plus formula and graph proxies; excludes void fraction and gives better material resolution without tuning to outcome
