query_id,variant,mean_rel_at5,sd_rel_at5,mean_ndcg_at5,sd_ndcg_at5,mean_diversity,sd_diversity,mean_runtime_ms,n
q1_co2_adsorption,LEA baseline,0.47107977569103243,0.0005067147938473041,0.9957769090600378,0.0013688125964786135,0.07812793180346485,0.0071916958095656685,145.77468319999804,10
q1_co2_adsorption,LEA no diversity,0.47267183661460865,0.0,1.0,0.0,0.0086071966215968,0.0,120.13302479999906,10
q1_co2_adsorption,LEA no self-cleaning,0.4717115849256516,0.000587127857969027,0.9970969814496575,0.0010503577504798385,0.07243015393614764,0.004989515282431946,84.65918749999909,10
q1_co2_adsorption,LEA pool200,0.47199033200740814,0.0002043971684680995,0.9969594427507282,0.0004897444413464704,0.07066348046064372,0.0015573959605311868,146.54408350000114,10
q1_co2_adsorption,LEA pool50,0.4716046839952469,0.0006062525703224216,0.9968341487720027,0.0006518357515769801,0.0803054980933666,0.01171114278142592,116.0989082000008,10
q1_co2_adsorption,MMR,0.4653640687465668,0.0,0.9856031459014648,0.0,0.1211382150650024,0.0,2.6900333000000165,10
q1_co2_adsorption,RandomRepeated,0.46369782388210296,0.0016505526617094513,0.977031379989325,0.004155316478972477,0.05348042212426658,0.011649156433340505,0.08115819999984226,10
q1_co2_adsorption,SemanticOnly,0.4628648757934569,0.0,0.971988658794384,0.0,0.064163289964199,0.0,0.10560850000146389,10
q1_co2_adsorption,WeightedSum,0.47267183661460865,0.0,1.0,0.0,0.0086071966215968,0.0,0.13259579999854715,10
q2_photocatalysis,LEA baseline,0.8607645511627198,5.658362827197959e-05,0.9999284152867091,5.829925190673253e-05,0.021581740304827682,0.0014100823468434357,125.29233769999891,10
q2_photocatalysis,LEA no diversity,0.8607824444770813,0.0,1.0,0.0,0.0211358331143856,0.0,128.23276659999846,10
q2_photocatalysis,LEA no self-cleaning,0.8607824444770813,0.0,0.999946890455415,1.2356661804723827e-06,0.0211358331143856,0.0,84.69240419999831,10
q2_photocatalysis,LEA pool200,0.8607645511627198,5.658362827197959e-05,0.9999288060386649,5.842361326636531e-05,0.021581740304827682,0.0014100823468434357,144.90738349999984,10
q2_photocatalysis,LEA pool50,0.8607824444770813,0.0,0.9999464997034592,1.6475549072917183e-06,0.0211358331143856,0.0,123.87207909999995,10
q2_photocatalysis,MMR,0.8575154542922974,0.0,0.9950487138202672,0.0,0.0814554542303085,0.0,2.944141799999178,10
q2_photocatalysis,RandomRepeated,0.853775006532669,0.0010277209231864656,0.9887271829420611,0.0013700537909305845,0.04186025895178314,0.018294276707991042,0.07957080000200452,10
