query_id,query,method,metric,mean,sd,min,max,n
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,MMR,diversity,0.03330849004557753,0.0010545410448666126,0.031194135291421093,0.034798660807358404,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,MMR,unique_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,MMR,runtime_ms,2106.911158300002,73.57836455184858,2030.7457920000047,2248.546165999983,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,MMR,missing_band_gap_top5,0.0,0.0,0.0,0.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,rel_at_5,0.7598756790987566,0.0,0.7598756790987566,0.7598756790987566,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,ndcg_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,diversity,0.029678773900061434,0.0008368277218866171,0.027297120450762952,0.0299434020610946,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,unique_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,runtime_ms,214.41670399999848,10.942017497320554,204.3348750000007,236.77562499999283,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,missing_band_gap_top5,0.0,0.0,0.0,0.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,rel_at_5,0.737653901276539,0.022763852061335795,0.6858030863580307,0.7598756790987566,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,ndcg_at_5,0.9643954326296826,0.03766622608964326,0.8739261029635533,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,diversity,0.018895119075593273,0.004277031109997519,0.013000376593490173,0.026630383040872896,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,unique_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,runtime_ms,0.06597099999936518,0.05539710302943604,0.04237500000670025,0.2234170000008362,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,missing_band_gap_top5,0.0,0.0,0.0,0.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,rel_at_5,0.7265430123654301,0.011711905262737427,0.7043212345432123,0.7413575309135754,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,ndcg_at_5,0.939455346402624,0.018895647129399232,0.9227633232278667,0.9800805165128221,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,diversity,0.022751332999128796,0.0035465957919062516,0.015514988750621822,0.028188043115413085,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,unique_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,runtime_ms,0.03442079999871339,0.006482821180293595,0.028916999994521575,0.04900000001839544,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,missing_band_gap_top5,0.0,0.0,0.0,0.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,rel_at_5,0.7598756790987566,0.0,0.7598756790987566,0.7598756790987566,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,ndcg_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,diversity,0.016303138590087134,0.0,0.016303138590087134,0.016303138590087134,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,unique_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,runtime_ms,1.0067083999970805,0.05368171769656889,0.9631249999983993,1.1453340000002754,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,missing_band_gap_top5,0.0,0.0,0.0,0.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,rel_at_5,0.7598756790987566,0.0,0.7598756790987566,0.7598756790987566,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,ndcg_at_5,1.0,0.0,1.0,1.0,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,diversity,0.016303138590087134,0.0,0.016303138590087134,0.016303138590087134,10
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,unique_at_5,1.0,0.0,1.0,1.0,10
