seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,unique_at_5,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,missing_band_gap_top5,catalog_coverage,top_k_stability_vs_pool100,retrieval_time_ms,reranking_time_ms,total_runtime_ms
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,75.36016699999948,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.03109548641480437,1.0,0.01157806488961426,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.8,0.0,75.36016699999948,75.36016699999948
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,81.65012499999591,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.0301478749318298,1.0,0.011225232099232187,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,81.65012499999591,81.65012499999591
42,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,96.10079200000143,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.0322972716656245,1.0,0.012025536507577188,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.8,0.0,96.10079200000143,96.10079200000143
43,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,75.6673329999984,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.025310388205567552,1.0,0.009424046728719814,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.2,0.0,75.6673329999984,75.6673329999984
43,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,83.57287500000155,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.03414729069233199,1.0,0.012714370895067025,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,83.57287500000155,83.57287500000155
43,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,100.40304199999639,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.03094646418090749,1.0,0.011522578087734488,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.6,0.0,100.40304199999639,100.40304199999639
44,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,77.57775000000322,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.02791125660893113,1.0,0.010392451684403487,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.4,0.0,77.57775000000322,77.57775000000322
44,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,84.70779099999959,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.02683698508580522,1.0,0.009992458410849326,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,84.70779099999959,84.70779099999959
44,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,103.59108299999775,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.03376992673838407,1.0,0.012573863546587976,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.6,0.0,103.59108299999775,103.59108299999775
45,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,73.71124999998813,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.028063552049317562,1.0,0.010449157228985257,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,73.71124999998813,73.71124999998813
45,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,80.57304099999385,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.028063552049317562,1.0,0.010449157228985257,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,80.57304099999385,80.57304099999385
45,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,95.25333300000227,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.028063552049317562,1.0,0.010449157228985257,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,95.25333300000227,95.25333300000227
46,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,73.79304099998762,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.029023342203714848,1.0,0.010806524614714076,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,73.79304099998762,73.79304099998762
46,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,80.34362499999759,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.02902334220371484,1.0,0.010806524614714074,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,80.34362499999759,80.34362499999759
46,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,95.00954199999967,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.02902334220371484,1.0,0.010806524614714074,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,95.00954199999967,95.00954199999967
47,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,73.13541700000314,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.02956848533085878,1.0,0.01100950270664689,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.4,0.0,73.13541700000314,73.13541700000314
47,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,80.27029199999447,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.025076174461317748,1.0,0.009336839798016432,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,1.0,0.0,80.27029199999447,80.27029199999447
47,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,94.52591699999857,0.7598756790987566,0.7598756790987566,0.8723203879496285,0.031221523581075206,1.0,0.011624993452497009,1.0,0.7166666666666667,1.0,0.7,0.0,0.7,0,0.00024543491066169253,0.8,0.0,94.52591699999857,94.52591699999857
