query_id,seed,method,topk_overlap_with_weighted_sum,same_topk_set_as_weighted_sum
q1_co2_adsorption,51,LEA + GAT,0.2,False
q1_co2_adsorption,51,LEA + GraphSAGE,0.2,False
q1_co2_adsorption,51,LEA no diversity,0.0,False
q1_co2_adsorption,51,LEA no self-cleaning,0.0,False
q1_co2_adsorption,51,MMR,0.0,False
q1_co2_adsorption,51,ParetoCrowding,0.0,False
q1_co2_adsorption,51,Random,0.0,False
q1_co2_adsorption,51,SemanticOnly,0.8,False
q1_co2_adsorption,51,TOPSIS,1.0,True
q1_co2_adsorption,51,WeightedSum,1.0,True
q2_photocatalysis,42,GAT only,1.0,True
q2_photocatalysis,42,GraphSAGE only,1.0,True
q2_photocatalysis,42,LEA,1.0,True
q2_photocatalysis,42,LEA + GAT,1.0,True
q2_photocatalysis,42,LEA + GraphSAGE,1.0,True
q2_photocatalysis,42,LEA no diversity,1.0,True
q2_photocatalysis,42,LEA no self-cleaning,1.0,True
q2_photocatalysis,42,MMR,1.0,True
q2_photocatalysis,42,ParetoCrowding,1.0,True
q2_photocatalysis,42,Random,0.0,False
q2_photocatalysis,42,SemanticOnly,0.0,False
q2_photocatalysis,42,TOPSIS,1.0,True
q2_photocatalysis,42,WeightedSum,1.0,True
q2_photocatalysis,43,GAT only,1.0,True
q2_photocatalysis,43,GraphSAGE only,1.0,True
q2_photocatalysis,43,LEA,1.0,True
q2_photocatalysis,43,LEA + GAT,1.0,True
q2_photocatalysis,43,LEA + GraphSAGE,1.0,True
q2_photocatalysis,43,LEA no diversity,1.0,True
q2_photocatalysis,43,LEA no self-cleaning,1.0,True
q2_photocatalysis,43,MMR,1.0,True
q2_photocatalysis,43,ParetoCrowding,1.0,True
q2_photocatalysis,43,Random,0.2,False
q2_photocatalysis,43,SemanticOnly,0.0,False
q2_photocatalysis,43,TOPSIS,1.0,True
q2_photocatalysis,43,WeightedSum,1.0,True
q2_photocatalysis,44,GAT only,1.0,True
q2_photocatalysis,44,GraphSAGE only,1.0,True
q2_photocatalysis,44,LEA,1.0,True
q2_photocatalysis,44,LEA + GAT,1.0,True
q2_photocatalysis,44,LEA + GraphSAGE,1.0,True
q2_photocatalysis,44,LEA no diversity,1.0,True
q2_photocatalysis,44,LEA no self-cleaning,1.0,True
q2_photocatalysis,44,MMR,1.0,True
q2_photocatalysis,44,ParetoCrowding,1.0,True
q2_photocatalysis,44,Random,0.0,False
q2_photocatalysis,44,SemanticOnly,0.0,False
q2_photocatalysis,44,TOPSIS,1.0,True
q2_photocatalysis,44,WeightedSum,1.0,True
q2_photocatalysis,45,GAT only,1.0,True
q2_photocatalysis,45,GraphSAGE only,1.0,True
q2_photocatalysis,45,LEA,1.0,True
q2_photocatalysis,45,LEA + GAT,1.0,True
q2_photocatalysis,45,LEA + GraphSAGE,1.0,True
q2_photocatalysis,45,LEA no diversity,1.0,True
