record_type,seed,query_id,query,method,candidate_pool_size,runtime_ms,rel_at_5,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,missing_band_gap_top5,unique_top_k_candidates,candidate_coverage,top_k_stability,retrieval_time_ms,reranking_time_ms,total_runtime_ms
candidate_pool_sensitivity,47,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,90.81045799999998,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.00490869821323385,,0.0,90.81045799999998,90.81045799999998
candidate_pool_sensitivity,47,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,108.36833299999782,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.0098173964264677,,0.0,108.36833299999782,108.36833299999782
candidate_pool_sensitivity,48,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,84.87154200000191,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.002454349106616925,,0.0,84.87154200000191,84.87154200000191
candidate_pool_sensitivity,48,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,94.85166600000028,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.00490869821323385,,0.0,94.85166600000028,94.85166600000028
candidate_pool_sensitivity,48,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,112.00099999999935,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.0098173964264677,,0.0,112.00099999999935,112.00099999999935
candidate_pool_sensitivity,49,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,81.58008399999872,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.002454349106616925,,0.0,81.58008399999872,81.58008399999872
candidate_pool_sensitivity,49,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,90.61812500000244,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.00490869821323385,,0.0,90.61812500000244,90.61812500000244
candidate_pool_sensitivity,49,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,200,109.42412500000032,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.0098173964264677,,0.0,109.42412500000032,109.42412500000032
candidate_pool_sensitivity,50,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,50,81.75579199999916,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.002454349106616925,,0.0,81.75579199999916,81.75579199999916
candidate_pool_sensitivity,50,q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,100,90.03424999999865,0.7598757655234476,0.7598757655234476,0.8723204284906387,0.0,0.0,1.0,0.716667,1.0,0.7,0.0,0.7,1.0,0,5,0.00490869821323385,,0.0,90.03424999999865,90.03424999999865
