query,query_id,seed,method,rank,qmof_id,formula,semantic_score,band_gap,band_gap_available,density,density_available,stability_score,graph_score,availability_mask,relevance_score,balance_score,diversity_contribution,final_score,runtime_ms
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,48,MMR,1,qmof-c0d0be0,Co2C28H20N4O12,0.716667,3.369652,True,1.717539182,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,1664.7481249999992
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,48,MMR,2,qmof-d06ef43,Co2C52H56N8O8,0.716667,4.337562,True,1.462550675,True,0.7,,1|1|1|1,0.6672850245975401,0.910732090473175,0.25,0.6672850245975401,1664.7481249999992
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,48,MMR,3,qmof-a5ebf1c,Co2C28H20N6O10,0.716667,3.242997,True,1.788603861,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.16666666666666666,0.7598757655234476,1664.7481249999992
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,48,MMR,4,qmof-c11323c,Co2C40H32N4O8,0.716667,3.474905,True,1.402324029,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.125,0.7598757655234476,1664.7481249999992
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,48,MMR,5,qmof-0ea1d91,Co2C16H12N8O4,0.716667,3.489909,True,1.78772833,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.1,0.7598757655234476,1664.7481249999992
