query,query_id,seed,method,rank,qmof_id,formula,semantic_score,band_gap,band_gap_available,density,density_available,stability_score,graph_score,availability_mask,relevance_score,balance_score,diversity_contribution,final_score,runtime_ms
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,MMR,1,qmof-68234b7,Co2C30H32N2O14,0.716667,3.266102,True,1.399169923,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,1661.4869579999993
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,MMR,2,qmof-f260694,Co2C24H24N12O4,0.716667,3.683788,True,1.450608165,True,0.7,,1|1|1|1,0.6672850245975401,0.910732090473175,0.25,0.6672850245975401,1661.4869579999993
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,MMR,3,qmof-a5ebf1c,Co2C28H20N6O10,0.716667,3.242997,True,1.788603861,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.16666666666666666,0.7598757655234476,1661.4869579999993
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,MMR,4,qmof-d8703ab,Co2C24H24N8O8,0.716667,3.365559,True,1.778550968,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.125,0.7598757655234476,1661.4869579999993
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,MMR,5,qmof-12ba7bc,Co2C46H28N8O12S4,0.716667,3.142553,True,1.708388658,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.1,0.7598757655234476,1661.4869579999993
