query_id,iteration,best_fitness
q1_co2_adsorption,0,0.4744685888290405
q1_co2_adsorption,1,0.4823506546020508
q1_co2_adsorption,2,0.4821313589811325
q1_co2_adsorption,3,0.48006389260292054
q1_co2_adsorption,4,0.48006389260292054
q1_co2_adsorption,5,0.48006389260292054
q1_co2_adsorption,6,0.48006389260292054
q1_co2_adsorption,7,0.48006389260292054
q1_co2_adsorption,8,0.48006389260292054
q1_co2_adsorption,9,0.48006389260292054
q1_co2_adsorption,10,0.48006389260292054
q1_co2_adsorption,11,0.48006389260292054
q1_co2_adsorption,12,0.48006389260292054
q1_co2_adsorption,13,0.48006389260292054
q1_co2_adsorption,14,0.48006389260292054
q1_co2_adsorption,15,0.48006389260292054
q1_co2_adsorption,16,0.48006389260292054
q1_co2_adsorption,17,0.48006389260292054
q1_co2_adsorption,18,0.48006389260292054
q1_co2_adsorption,19,0.48006389260292054
q1_co2_adsorption,20,0.48006389260292054
q1_co2_adsorption,21,0.48006389260292054
q1_co2_adsorption,22,0.48006389260292054
q1_co2_adsorption,23,0.48006389260292054
q1_co2_adsorption,24,0.48006389260292054
q1_co2_adsorption,25,0.48006389260292054
q1_co2_adsorption,26,0.48006389260292054
q1_co2_adsorption,27,0.48006389260292054
q1_co2_adsorption,28,0.48006389260292054
q1_co2_adsorption,29,0.48006389260292054
q1_co2_adsorption,30,0.48006389260292054
q1_co2_adsorption,31,0.48006389260292054
q1_co2_adsorption,32,0.48006389260292054
q1_co2_adsorption,33,0.48006389260292054
q1_co2_adsorption,34,0.48006389260292054
q1_co2_adsorption,35,0.48006389260292054
q1_co2_adsorption,36,0.48006389260292054
q1_co2_adsorption,37,0.48006389260292054
q1_co2_adsorption,38,0.48006389260292054
q1_co2_adsorption,39,0.48006389260292054
q1_co2_adsorption,40,0.48006389260292054
q1_co2_adsorption,41,0.48006389260292054
q1_co2_adsorption,42,0.48006389260292054
q1_co2_adsorption,43,0.48006389260292054
q1_co2_adsorption,44,0.48006389260292054
q1_co2_adsorption,45,0.48006389260292054
q1_co2_adsorption,46,0.48006389260292054
q1_co2_adsorption,47,0.48006389260292054
q1_co2_adsorption,48,0.48006389260292054
q1_co2_adsorption,49,0.48006389260292054
q1_co2_adsorption,50,0.48006389260292054
q1_co2_adsorption,51,0.48006389260292054
q1_co2_adsorption,52,0.48006389260292054
q1_co2_adsorption,53,0.48006389260292054
q1_co2_adsorption,54,0.48006389260292054
q1_co2_adsorption,55,0.48006389260292054
q1_co2_adsorption,56,0.48006389260292054
q1_co2_adsorption,57,0.48006389260292054
q1_co2_adsorption,58,0.48006389260292054
q1_co2_adsorption,59,0.48006389260292054
q2_photocatalysis,0,0.8617095351219177
q2_photocatalysis,1,0.8628067795187235
q2_photocatalysis,2,0.8628067795187235
q2_photocatalysis,3,0.8628067795187235
q2_photocatalysis,4,0.8628067795187235
q2_photocatalysis,5,0.8628067795187235
q2_photocatalysis,6,0.8628067795187235
q2_photocatalysis,7,0.8628067795187235
q2_photocatalysis,8,0.8628067795187235
q2_photocatalysis,9,0.8628067795187235
q2_photocatalysis,10,0.8628067795187235
q2_photocatalysis,11,0.8628067795187235
q2_photocatalysis,12,0.8628067795187235
q2_photocatalysis,13,0.8628067795187235
q2_photocatalysis,14,0.8628067795187235
q2_photocatalysis,15,0.8628067795187235
q2_photocatalysis,16,0.8628067795187235
q2_photocatalysis,17,0.8628067795187235
q2_photocatalysis,18,0.8628067795187235
q2_photocatalysis,19,0.8628067795187235
q2_photocatalysis,20,0.8628067795187235
q2_photocatalysis,21,0.8628067795187235
q2_photocatalysis,22,0.8628067795187235
q2_photocatalysis,23,0.8628067795187235
q2_photocatalysis,24,0.8628067795187235
q2_photocatalysis,25,0.8628067795187235
q2_photocatalysis,26,0.8628067795187235
q2_photocatalysis,27,0.8628067795187235
q2_photocatalysis,28,0.8628067795187235
q2_photocatalysis,29,0.8628067795187235
q2_photocatalysis,30,0.8628067795187235
q2_photocatalysis,31,0.8628067795187235
q2_photocatalysis,32,0.8628067795187235
q2_photocatalysis,33,0.8628067795187235
q2_photocatalysis,34,0.8628067795187235
q2_photocatalysis,35,0.8628067795187235
q2_photocatalysis,36,0.8628067795187235
q2_photocatalysis,37,0.8628067795187235
q2_photocatalysis,38,0.8628067795187235
q2_photocatalysis,39,0.8628067795187235
q2_photocatalysis,40,0.8628067795187235
q2_photocatalysis,41,0.8628067795187235
q2_photocatalysis,42,0.8628067795187235
q2_photocatalysis,43,0.8628067795187235
q2_photocatalysis,44,0.8628067795187235
q2_photocatalysis,45,0.8628067795187235
q2_photocatalysis,46,0.8628067795187235
q2_photocatalysis,47,0.8628067795187235
q2_photocatalysis,48,0.8628067795187235
q2_photocatalysis,49,0.8628067795187235
q2_photocatalysis,50,0.8628067795187235
q2_photocatalysis,51,0.8628067795187235
q2_photocatalysis,52,0.8628067795187235
q2_photocatalysis,53,0.8628067795187235
q2_photocatalysis,54,0.8628067795187235
q2_photocatalysis,55,0.8628067795187235
q2_photocatalysis,56,0.8628067795187235
q2_photocatalysis,57,0.8628067795187235
q2_photocatalysis,58,0.8628067795187235
q2_photocatalysis,59,0.8628067795187235
q3_lightweight_storage,0,0.673728346824646
q3_lightweight_storage,1,0.7381897330284118
q3_lightweight_storage,2,0.7329575300216675
q3_lightweight_storage,3,0.7227913713455201
q3_lightweight_storage,4,0.7221262264251709
q3_lightweight_storage,5,0.7221262264251709
q3_lightweight_storage,6,0.7221262264251709
q3_lightweight_storage,7,0.7221262264251709
q3_lightweight_storage,8,0.7221262264251709
q3_lightweight_storage,9,0.7221262264251709
q3_lightweight_storage,10,0.7221262264251709
q3_lightweight_storage,11,0.7221262264251709
q3_lightweight_storage,12,0.7221262264251709
q3_lightweight_storage,13,0.7221262264251709
q3_lightweight_storage,14,0.7221262264251709
