scenario,physical_weight,formula_weight,graph_weight,method,mean_diversity,diversity_rank,method_order_by_diversity,primary_order_changed_vs_default,notes
equal_components_0.333_0.333_0.333,0.3333333333333333,0.3333333333333333,0.3333333333333333,TOPSIS,0.018331938471560595,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,WeightedSum,0.016687130961444335,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,LEA,0.020336315418370644,5,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,MMR,0.0215376975798605,2,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,ParetoCrowding,0.022729347258659813,1,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,Random,0.02132064517889061,4,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,SemanticOnly,0.021460607380983366,3,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
increased_physical_0.75_0.15_0.10,0.75,0.15,0.1,TOPSIS,0.016687130961444335,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,WeightedSum,0.01998226339629014,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,LEA,0.023859233202318905,5,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,MMR,0.02568090077533375,2,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,ParetoCrowding,0.027852340763938912,1,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,Random,0.025133275428705817,4,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,SemanticOnly,0.025544028047145773,3,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_graph_0.65_0.35_0.00,0.65,0.35,0.0,TOPSIS,0.01998226339629014,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,WeightedSum,0.012815970688124194,6,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,LEA,0.016106475353400266,5,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,MMR,0.016600449516424528,3,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,ParetoCrowding,0.01670825793730278,1,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,Random,0.016668550786035585,2,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,SemanticOnly,0.01651063592623123,4,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
omit_formula_0.80_0.00_0.20,0.8,0.0,0.2,TOPSIS,0.012815970688124194,6,ParetoCrowding>Random>MMR>SemanticOnly>LEA>WeightedSum>TOPSIS,True,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
